Sample,Scanlist,Mosaic,Max_zircon_size,X_offset,Y_offset
SY-D,SY-D-COMPLETE.scancsv,Mosaic171127 0857-33-574.bmp,300,0,0
1WM-478,1WM-478.scancsv,Mosaic171002 0839-30-177.bmp,300,0,0
